source,target,weight,parent_user,source_is_replier,target_is_replier
Alaiye47,michelle_ogno,1,trump,True,False
AlanCarlso26841,krassenstein,1,trump,True,False
AlanKielan,F15Synch,1,trump,True,False
AlbertPinc13136,SenateDems,1,aoc,True,False
AlbieAlDem96253,EviLFranchise,1,aoc,True,False
AlbieAlDem96253,GOP,1,aoc,True,False
AlbieAlDem96253,SenateDems,3,aoc,True,False
AlbieAlDem96253,SkyeDawn,3,aoc,True,True
AlexGar75889493,CrazyVibes_1,1,trump,True,False
AlexGar75889493,Cryspell62,1,trump,True,False
AlexRosputko,MarinaMedvin,1,trump,True,False
AlfredArzuaga1,alamnavsa,12,trump,True,True
AllenGYork,X_StrayDog1,1,aoc,True,False
Alva5915George,likaluca,1,aoc,True,False
AmatoLisa40725,SenateDems,1,aoc,True,False
America13342254,SenSchumer,1,aoc,True,False
America13342254,SenateDems,1,aoc,True,False
American070707,0hour1,1,aoc,True,False
AmericanMargo,GoldenWing2022,2,aoc,True,True
AmericanMisty,SenateDems,1,aoc,True,False
AmericanShugun,DianaforQueens,1,aoc,True,False
AmyFord1489236,SenateDems,1,aoc,True,False
AmyNMooshka,abbylang0307,1,trump,True,False
AmyNMooshka,mattvanswol,1,trump,True,False
AmyhonganB,ScottCrisp51777,2,trump,True,False
AnAussieGuy2,BrilliantJ976,1,trump,True,False
AnAussieGuy2,WHLeavitt,1,trump,True,False
Anais0777,TheDemocrats,1,aoc,True,False
AndrewProk11345,AxeToGrind99,1,trump,True,False
Andros_le_wuff,BillyBaldwin,1,trump,True,False
Angel999995,GovMikeHuckabee,1,trump,True,False
Angel999995,h0m0fortruth,1,trump,True,False
Angel999995,iamshalabhkumar,1,trump,True,False
AngelNasexs,krassenstein,1,trump,True,False
AngelaM39710892,DianaforQueens,1,aoc,True,False
Angelac09265550,JamieBonkiewicz,1,trump,True,False
AngryMrBungle,DianaforQueens,1,aoc,True,False
AngryMrBungle,leftcoastindy,1,aoc,True,True
Anihaya1948,Diana16588,1,trump,True,False
Ann1312576,F15Synch,1,trump,True,False
AnnHugh52577250,DianaforQueens,1,aoc,True,False
AnnRother,robertsepehr,1,trump,True,False
AnnaMiller12269,NelsonFran59,1,trump,True,False
AnnaPeterka3,harryjsisson,1,aoc,True,False
Anne13279693,mrakun05,1,trump,True,False
Anokataxs,DianaforQueens,2,aoc,True,False
Ant_Liberty,SenateDems,1,aoc,True,False
AntghaniStan,sayitnspinit,1,aoc,True,False
Anthony007,SenateDems,1,aoc,True,False
Anthony007,stannny71,1,aoc,True,False
Anthony60134800,Dom4200,1,trump,True,False
AnthonyGeorg81,SenSchumer,1,aoc,True,False
AnthonyGeorg81,SenateDems,1,aoc,True,False
AnthonyMess1976,saras76,1,trump,True,False
AntiWoke17,DianaforQueens,1,aoc,True,False
Antimulla261,4HumanUnity,1,trump,True,False
Anton73101725,POTUS,1,trump,True,False
Apom881,DianaforQueens,1,aoc,True,False
AptChang,LauraLoomer,1,aoc,True,False
AraujoFretes,GloboNews,1,trump,True,False
AraujoFretes,UOL,1,trump,True,False
ArbitrationLC,0xSerik,1,trump,True,False
ArbitrationLC,LaunchOnPump,1,trump,True,True
ArbitrationLC,X,1,trump,True,False
ArbitrationLC,grok,1,trump,True,True
ArianeDolgah,ChidiNwatu,1,trump,True,False
Armingbears,TheDemocrats,1,aoc,True,False
ArsenicJulep,RickBoyd1171,1,aoc,True,False
AscensionRex,NekoSilverleaf,1,aoc,True,True
AshtenJade,ped,1,trump,True,False
AsianD0ll655299,RyanShead,1,trump,True,False
AsianD0ll655299,krassenstein,1,trump,True,False
AskPerplexity,coffeecup72222,1,trump,True,False
AskPerplexity,cyberbatman_,1,trump,True,False
AskPerplexity,grok,1,trump,True,True
Ass_Milk_,JamieBonkiewicz,1,trump,True,False
AsssUhl,krassenstein,1,trump,True,False
AtheistFree25,ValentinaForUSA,1,aoc,True,False
Aubert37420,POTUS,1,trump,True,False
AustinMatees,elsa_howell1,1,trump,True,False
AvailableLite9,NiNaWintz,1,aoc,True,False
Avaxsfrhb168,BarristerEliza,1,trump,True,False
Averagedood1,Bushra1Shaikh,1,trump,True,False
Averagedood1,fluffmoney,1,trump,True,False
Aydn44988980,JackPosobiec,1,trump,True,False
